date,latitude,longitude,predicted_SWE
01-01-2017,45.21875,-119.21875,110.883606
02-01-2017,45.21875,-119.21875,100.00293
03-01-2017,45.21875,-119.21875,103.13954
04-01-2017,45.21875,-119.21875,110.734886
05-01-2017,45.21875,-119.21875,94.066345
06-01-2017,45.21875,-119.21875,96.98005
07-01-2017,45.21875,-119.21875,117.89008
08-01-2017,45.21875,-119.21875,126.4212
09-01-2017,45.21875,-119.21875,110.576
10-01-2017,45.21875,-119.21875,114.21782
11-01-2017,45.21875,-119.21875,104.28858
12-01-2017,45.21875,-119.21875,89.22133
13-01-2017,45.21875,-119.21875,96.330215
14-01-2017,45.21875,-119.21875,89.41867
15-01-2017,45.21875,-119.21875,87.105415
16-01-2017,45.21875,-119.21875,88.929375
17-01-2017,45.21875,-119.21875,97.77768
18-01-2017,45.21875,-119.21875,126.29298
19-01-2017,45.21875,-119.21875,95.96759
20-01-2017,45.21875,-119.21875,104.29337
21-01-2017,45.21875,-119.21875,99.1991
22-01-2017,45.21875,-119.21875,110.15007
23-01-2017,45.21875,-119.21875,102.129295
24-01-2017,45.21875,-119.21875,101.47218
25-01-2017,45.21875,-119.21875,115.06659
26-01-2017,45.21875,-119.21875,113.56098
27-01-2017,45.21875,-119.21875,94.5854
28-01-2017,45.21875,-119.21875,91.37558
29-01-2017,45.21875,-119.21875,92.50844
30-01-2017,45.21875,-119.21875,95.5223
31-01-2017,45.21875,-119.21875,103.26595
01-02-2017,45.21875,-119.21875,77.36083
02-02-2017,45.21875,-119.21875,67.53484
03-02-2017,45.21875,-119.21875,79.91063
04-02-2017,45.21875,-119.21875,81.08845
05-02-2017,45.21875,-119.21875,89.825645
06-02-2017,45.21875,-119.21875,84.13996
07-02-2017,45.21875,-119.21875,74.93562
08-02-2017,45.21875,-119.21875,78.516
09-02-2017,45.21875,-119.21875,113.73999
10-02-2017,45.21875,-119.21875,111.57226
11-02-2017,45.21875,-119.21875,103.01836
12-02-2017,45.21875,-119.21875,113.974396
13-02-2017,45.21875,-119.21875,80.70848
14-02-2017,45.21875,-119.21875,83.85219
15-02-2017,45.21875,-119.21875,118.315186
16-02-2017,45.21875,-119.21875,145.51273
17-02-2017,45.21875,-119.21875,100.81907
18-02-2017,45.21875,-119.21875,142.99417
19-02-2017,45.21875,-119.21875,141.33658
20-02-2017,45.21875,-119.21875,182.67487
21-02-2017,45.21875,-119.21875,215.39127
22-02-2017,45.21875,-119.21875,149.8691
23-02-2017,45.21875,-119.21875,131.22691
24-02-2017,45.21875,-119.21875,99.60685
25-02-2017,45.21875,-119.21875,93.98147
26-02-2017,45.21875,-119.21875,150.67474
27-02-2017,45.21875,-119.21875,142.98897
28-02-2017,45.21875,-119.21875,142.5117
01-03-2017,45.21875,-119.21875,130.18045
02-03-2017,45.21875,-119.21875,97.9608
03-03-2017,45.21875,-119.21875,107.25638
04-03-2017,45.21875,-119.21875,197.3629
05-03-2017,45.21875,-119.21875,156.66205
06-03-2017,45.21875,-119.21875,149.15942
07-03-2017,45.21875,-119.21875,171.80452
08-03-2017,45.21875,-119.21875,130.22548
09-03-2017,45.21875,-119.21875,115.78113
10-03-2017,45.21875,-119.21875,117.30428
11-03-2017,45.21875,-119.21875,90.65337
12-03-2017,45.21875,-119.21875,96.53296
13-03-2017,45.21875,-119.21875,94.984695
14-03-2017,45.21875,-119.21875,80.24333
15-03-2017,45.21875,-119.21875,122.47929
16-03-2017,45.21875,-119.21875,126.28188
17-03-2017,45.21875,-119.21875,96.83863
18-03-2017,45.21875,-119.21875,147.81978
19-03-2017,45.21875,-119.21875,103.33103
20-03-2017,45.21875,-119.21875,82.71953
21-03-2017,45.21875,-119.21875,109.136505
22-03-2017,45.21875,-119.21875,148.1728
23-03-2017,45.21875,-119.21875,121.297554
24-03-2017,45.21875,-119.21875,161.27328
25-03-2017,45.21875,-119.21875,123.56645
26-03-2017,45.21875,-119.21875,209.29561
27-03-2017,45.21875,-119.21875,153.1765
28-03-2017,45.21875,-119.21875,106.98115
29-03-2017,45.21875,-119.21875,146.77692
30-03-2017,45.21875,-119.21875,194.84811
31-03-2017,45.21875,-119.21875,172.91095
01-04-2017,45.21875,-119.21875,96.92768
02-04-2017,45.21875,-119.21875,224.39903
03-04-2017,45.21875,-119.21875,136.6499
04-04-2017,45.21875,-119.21875,89.58036
05-04-2017,45.21875,-119.21875,78.79044
06-04-2017,45.21875,-119.21875,98.22506
07-04-2017,45.21875,-119.21875,183.65556
08-04-2017,45.21875,-119.21875,249.2926
09-04-2017,45.21875,-119.21875,232.10712
10-04-2017,45.21875,-119.21875,226.63744
11-04-2017,45.21875,-119.21875,158.10175
12-04-2017,45.21875,-119.21875,194.7642
13-04-2017,45.21875,-119.21875,249.68303
14-04-2017,45.21875,-119.21875,196.23497
15-04-2017,45.21875,-119.21875,129.6086
16-04-2017,45.21875,-119.21875,103.095566
17-04-2017,45.21875,-119.21875,148.10204
18-04-2017,45.21875,-119.21875,266.24295
19-04-2017,45.21875,-119.21875,128.66064
20-04-2017,45.21875,-119.21875,199.2386
21-04-2017,45.21875,-119.21875,207.65723
22-04-2017,45.21875,-119.21875,98.66529
23-04-2017,45.21875,-119.21875,156.23024
24-04-2017,45.21875,-119.21875,296.16684
25-04-2017,45.21875,-119.21875,306.97125
26-04-2017,45.21875,-119.21875,238.13303
27-04-2017,45.21875,-119.21875,224.27243
28-04-2017,45.21875,-119.21875,322.84308
29-04-2017,45.21875,-119.21875,175.69527
30-04-2017,45.21875,-119.21875,155.18459
01-05-2017,45.21875,-119.21875,173.34743
02-05-2017,45.21875,-119.21875,146.99274
